requirement_id,section,official_requirement,official_notes,teaching_lessons,delivery_role,required_groups,worked_example_evidence,practice_evidence,assessment_evidence,prerequisites,risk_level,forbidden_pattern_count,current_gate_status,current_gate_messages,independent_semantic_status,defect_ids,release_status
S2.02,2,"Explain client-server and peer-to-peer models, their computer roles, benefits and drawbacks, and justify a model for a given situation.","Evidence must cover the different computer roles in each model, balanced benefits and drawbacks, and a scenario-linked choice; a topology cannot substitute for a network model.",17,CORE,7,L017#stage2-completion,L017#stage2-practice,L017-Q3,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.03,2,Show understanding of thin-client and thick-client computers and the differences between them.,"Thin/thick describes where processing, software and storage reside; it must not be treated as a synonym for client-server/peer-to-peer.",17,CORE,4,L017#stage2-completion,L017#stage2-practice,AQ020-Q2,S2.02,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.04,2,"Show understanding of bus, star, mesh and hybrid network topologies.",All four named topologies are required. A hybrid combines two or more topology patterns; it is not merely a large network.,16,CORE,4,L016#stage2-completion,L016#stage2-practice,L016-Q3;AR026-Q2,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.05,2,Explain how packets are transmitted between two hosts for a given topology and justify topology choice for a given situation.,"Packet or signal paths must be explicit for bus, star, mesh and hybrid. A justification must link the path and failure behaviour to the scenario.",16;18,CORE,6,L018#stage2-completion,L018#stage2-practice,AQ020-Q3;AR026-Q2,S2.04,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.06,2,"Show understanding of public and private cloud computing, including the benefits and drawbacks of cloud computing.","Public refers to shared provider infrastructure, not unrestricted access to customer data. Private infrastructure is dedicated to one organisation but is not automatically secure.",24,CORE,5,L024#stage2-completion,L024#stage2-practice,L024-Q5,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.07,2,Show understanding of the differences between wired and wireless networks and the implications of using each.,"Comparisons must connect physical cable or radio transmission to mobility, installation, interference, shared capacity, reliability or security in a stated use.",22,CORE,5,L022#stage2-completion,L022#stage2-practice,L022-Q2,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.08,2,"Describe copper cable, fibre-optic cable, radio waves including WiFi, microwave and satellite transmission.","All named media are required. Explanations must include the signalling method or propagation condition and a use/limitation, not only relative speed.",22,CORE,6,L022#stage2-completion,L022#stage2-practice,L022-Q5;AQ025-Q2,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.09,2,"Describe LAN hardware: switch, server, NIC, WNIC, WAP, cables, bridge and repeater.",Every named hardware category is required and must be distinguished by its role; a combined consumer device does not merge the logical functions.,23,CORE,7,L023#stage2-completion,L023#stage2-practice,L023-Q3,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.10,2,Describe the role and function of a router in a network.,A router connects different networks and forwards packets using destination IP addresses and routing information; providing WiFi is not the defining role.,23,CORE,5,L023#stage2-completion,L023#stage2-practice,L023-Q2;AQ025-Q3,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.11,2,Show understanding of Ethernet and how collisions are detected and handled using CSMA/CD.,"Carrier sensing occurs before transmission; collision detection occurs after transmission begins. A collision causes stop/jam, random backoff, sensing and retry.",19,CORE,6,L019#stage2-completion,L019#stage2-practice,AQ020-Q4;AR026-Q1,S2.01,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.12,2,"Show understanding of bit streaming, including real-time/on-demand methods and the importance of bit rate and broadband speed.",A buffer absorbs short variation but cannot repair a sustained connection rate below the media bit rate. Real-time means live; on-demand means stored content selected by the user.,25,CORE,6,L025#stage2-completion,L025#stage2-practice,L025-Q4;AQ025-Q5,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.13,2,Show understanding of the differences between the World Wide Web and the internet.,The internet is interconnected network infrastructure and protocols; the WWW is one service of linked resources accessed over that infrastructure.,24,CORE,3,L024#stage2-completion,L024#stage2-practice,AQ025-Q4,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.14,2,"Describe internet-supporting hardware and connections, including modems, PSTN, dedicated lines and cell phone networks.","A modem adapts data to access-link signalling. PSTN, dedicated lines and cell phone/cellular networks are distinct connection methods and all are compulsory examples.",23,CORE,6,L023#stage2-completion,L023#stage2-practice,L023-Q4;AQ025-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.15,2,"Explain IP-address use, including IPv4/IPv6 format, subnetting, device association, public/private and static/dynamic addresses, and security implications.",IPv4 is 32-bit and IPv6 is 128-bit. An address is associated with a network interface on a network. Private addressing reduces direct public reachability but does not guarantee security.,20,CORE,11,L020#stage2-completion,L020#stage2-practice,L020-Q2;AQ020-Q5,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S2.16,2,Explain how a URL locates a WWW resource and the role of DNS.,"A URL may contain scheme, domain, optional port, path and optional query/fragment. DNS resolves the domain name to an IP address; it does not resolve the path or store the resource.",20,CORE,7,L020#stage2-completion,L020#stage2-practice,L020-Q1;L020-Q4,S2.15,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.01,3,"Explain the need for input, output, primary storage, secondary storage and removable storage.","Show understanding of the need for input, output, primary memory and secondary storage, including removable storage.",27,CORE,5,L027#stage2-completion,L027#stage2-practice,L027-Q1;L027-Q3;AQ030-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.02,3,Understand embedded systems and their benefits/drawbacks.,"Show understanding of embedded systems, including their benefits and drawbacks.",33,CORE,4,L033#stage2-completion,L033#stage2-practice,L033-Q4;AQ035-Q3,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.03,3,"Describe principal operation of laser printer, 3D printer, microphone, speakers, HDD, flash memory, optical reader/writer, touchscreen and VR headset.","Describe the principal operations of: laser printer, 3D printer, microphone, speakers, magnetic hard disk, solid state (flash) memory, optical disc reader/writer, touchscreen and virtual reality headset.",28;29;31,CORE,9,L028#stage2-completion;L029#stage2-completion;L031#stage2-completion,L028#stage2-practice;L029#stage2-practice;L031#stage2-practice,L028-Q5;L029-Q2;L031-Q4;AQ030-Q2;AQ035-Q1,S3.01,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.04,3,Understand why buffers are used.,"Show understanding of the use of buffers, including temporary storage used to manage different producer and consumer rates.",29,CORE,3,L029#stage2-completion,L029#stage2-practice,L029-Q1;AQ030-Q3,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.05,3,Distinguish RAM and ROM.,"Explain the differences between RAM and ROM, including their use in a range of devices and systems.",30,CORE,2,L030#stage2-completion,L030#stage2-practice,L030-Q1,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.06,3,Explain uses of SRAM and DRAM and reasons for each use.,"Explain the differences between SRAM and DRAM, including their uses in a range of devices and systems and the reasons for choosing one instead of the other.",30,CORE,4,L030#stage2-completion,L030#stage2-practice,AQ030-Q5;AR040-Q1,S3.05,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.07,3,"Understand PROM, EPROM and EEPROM.","Explain the difference between PROM, EPROM and EEPROM, including how each can be programmed or erased.",30,CORE,3,L030#stage2-completion,L030#stage2-practice,L030-Q4,S3.05,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.08,3,"Distinguish monitoring and control; understand sensors, actuators and feedback.","Show understanding of monitoring and control systems, including the difference between monitoring and control, the use of sensors and actuators, and the importance of feedback.",34,CORE,5,L034#stage2-completion,L034#stage2-practice,L034-Q1;AQ040-Q5,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.09,3,"Understand temperature, pressure, infrared and sound sensors and appropriate applications.","Required sensor types are temperature, pressure, infra-red and sound; teaching and assessment must connect each sensor to an appropriate application.",34,CORE,4,L034#stage2-completion,L034#stage2-practice,AQ035-Q4,S3.08,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S3.10,3,"Understand NOT, AND, OR, NAND, NOR and XOR; use symbols/functions/truth tables and convert among problem, expression, circuit and truth table.","Use the standard symbols and define the functions of NOT, AND, OR, NAND, NOR and XOR (EOR); all gates except NOT have two inputs. Construct circuits, truth tables and expressions from each of the other stated representations: problem statement, logic expression, logic circuit and truth table.",35;36;37,CORE,13,L037#stage2-completion,L037#stage2-practice,L035-Q2;L036-Q2;L037-Q2;AQ040-Q2,S1.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.01,4,Understand Von Neumann architecture and the stored-program concept.,Show understanding of the basic Von Neumann model and the stored-program concept: instructions are stored in binary in the same directly accessible memory as data and are fetched for execution.,41,CORE,5,L041#stage2-completion,L041#stage2-practice,L041-Q4;AQ045-Q3,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.02,4,"Understand general- and special-purpose registers: PC, MDR, MAR, ACC, IX, CIR and status register.","Distinguish general-purpose and special-purpose registers and explain PC, MDR, MAR, ACC, IX, CIR and status-register roles. Cambridge assembly questions assume ACC is the available general-purpose working register.",43,CORE,11,L043#stage2-completion,L043#stage2-practice,L043-Q5;AQ045-Q2,S4.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.03,4,"Understand ALU, CU, clock and immediate access store (IAS).","Show understanding of the purpose and roles of the ALU, CU, system clock and Immediate Access Store (IAS). IAS is directly accessible memory for current instructions and data, not a register or cache.",41,CORE,7,L041#stage2-completion,L041#stage2-practice,L041-Q1,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.04,4,"Understand address, data and control buses.","Show how data are transferred between computer-system components using the address bus, data bus and control bus, including their directions and roles in read/write operations.",44,CORE,4,L044#stage2-completion,L044#stage2-practice,L044-Q2,S4.01,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.05,4,"Understand processor performance factors: processor type, cores, bus width, clock and cache.","Show how processor type and number of cores, bus width, clock speed and cache memory can contribute to performance; no single factor guarantees faster execution for every workload.",49;44,CORE,5,L049#stage2-completion,L049#stage2-practice,L049-Q5;AQ045-Q5,,High,0,Complete,,Fail,SCI-CONT-006,Blocked
S4.06,4,"Understand USB, HDMI and VGA ports.","Understand how ports connect peripheral devices, including Universal Serial Bus (USB), High Definition Multimedia Interface (HDMI) and Video Graphics Array (VGA), with accurate signal/use distinctions.",44,CORE,4,L044#stage2-completion,L044#stage2-practice,AQ045-Q4,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.07,4,Describe the fetch-execute cycle using register transfer notation.,"Describe the stages of the Fetch-Execute cycle and use register-transfer notation, including MAR <- PC, MDR <- Memory[MAR], CIR <- MDR and a coherent PC update.",42;43,CORE,2,L042#stage2-completion,L042#stage2-practice,L042-Q1;AQ045-Q2,S4.01,High,0,Complete,,Fail,SCI-CONT-002,Blocked
S4.08,4,"Understand causes/applications of interrupts, ISR, detection and handling.","Include possible causes and applications of interrupts, the use of an Interrupt Service Routine (ISR), when interrupts are detected during the fetch-execute cycle and the full save-handle-restore sequence.",48,CORE,6,L048#stage2-completion,L048#stage2-practice,L048-Q1,S4.07,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.09,4,Distinguish assembly language and machine code.,Show the relationship between assembly language and machine code: assembly is a processor-specific symbolic low-level form translated by an assembler into binary instructions defined by the target instruction set.,45,CORE,4,L045#stage2-completion,L045#stage2-practice,L045-Q4;AQ045-Q5,S4.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.10,4,Describe and apply the stages of a two-pass assembler.,Describe the different stages of a two-pass assembler and apply the process to a simple program: pass 1 assigns addresses/builds the symbol table and pass 2 translates with resolved symbols.,46,CORE,3,L046#stage2-completion,L046#stage2-practice,AQ050-Q1,S4.09,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.11,4,Trace a simple assembly-language program.,"Trace a given simple assembly-language program by recording each executed instruction, register/memory/output changes and taken or not-taken control flow.",46,CORE,3,L046#stage2-completion,L046#stage2-practice,AQ050-Q2;L047-Q2,S4.09,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.12,4,"Understand instruction groups: data movement, input/output, arithmetic, conditional/unconditional branch and compare.","Group the specified instructions as data movement, input/output, arithmetic, unconditional branch, conditional branch and compare operations; classification must follow each instruction's official effect rather than an English guess from its mnemonic.",46,CORE,6,L046#stage2-completion,L046#stage2-practice,L046-Q1;AQ050-Q3,S4.09,High,0,Complete,,Fail,SCI-CONT-003,Blocked
S4.13,4,"Use the specified instruction set: LDM, LDD, LDI, LDX, LDR, MOV, STO, ADD, SUB, INC, DEC, JMP, CMP, CMI, JPE, JPN, IN, OUT and END.","Use the complete Version 2 instruction set with its specified operands and effects. In particular LDR #n loads IX, CMI <address> is indirect comparison, JPE follows a True comparison and JPN follows a False comparison.",46;47,CORE,19,L046#stage2-completion,L046#stage2-practice,L046-Q2;L046-Q4;AR051-Q1,S4.12,High,4,Complete,,Fail,SCI-CONT-003,Blocked
S4.14,4,"Understand immediate, direct, indirect, indexed and relative addressing.","Use immediate, direct, indirect, indexed and relative addressing. Relative addressing forms an address from a PC-based instruction address plus an offset; LDR #n remains immediate-to-IX, not relative.",47,CORE,6,L047#stage2-completion,L047#stage2-practice,L047-Q5;AQ050-Q2,S4.13,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S4.15,4,"Use AND, OR, XOR, LSL and LSR for bit manipulation, including testing/setting bits with masks.","Use AND, OR and XOR masks to test, set, clear and toggle bits, and apply logical, arithmetic and cyclic left/right shifts at a stated fixed width. Include device monitoring/control and distinguish discarded, sign-filled and rotated bits.",50,CORE,16,L050#examples,L050#practice,AQ050-Q4;AQ050-Q5;L050-Q1;L050-Q3,S1.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S5.01,5,"Explain why an operating system is required and its memory, file, security, hardware and process management roles.","The operating system is required to provide a platform and manage memory, files, security, hardware input/output and peripherals, and processes.",52;53,CORE,6,L053#stage2-completion,L053#stage2-practice,L053-Q5;AQ055-Q1,,High,0,Complete,,Fail,SCI-CROSS-001,Blocked
S5.02,5,"Understand disk formatter, antivirus, defragmentation, disk analysis/repair, compression and backup utilities.","Required utility categories are disk formatter, virus checker, defragmentation, disk contents analysis and repair, file compression and backup software.",55,CORE,7,L055#stage2-completion,L055#stage2-practice,AQ055-Q5,S5.01,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S5.03,5,Understand libraries and benefits of dynamically linked library files.,"Software under development is often constructed using existing code from program libraries. Explain developer benefits, including the use of dynamically linked library files.",58,CORE,6,L058#stage2-completion,L058#stage2-practice,L058-Q3;AQ060-Q3,S5.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S5.04,5,"Explain why assembler, compiler and interpreter are needed.","An assembler translates assembly language, a compiler translates high-level language, and an interpreter translates and executes high-level language.",56,CORE,3,L056#stage2-completion,L056#stage2-practice,L056-Q5,,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S5.05,5,Compare compiler and interpreter advantages/disadvantages and justify use.,"Explain the benefits and drawbacks of a compiler and an interpreter, and justify which translator is appropriate for a stated use.",56;60,CORE,4,L056#stage2-completion,L056#stage2-practice,L056-Q4;AR061-Q1,S5.04,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S5.06,5,Understand that Java is partly compiled and partly interpreted.,A high-level program may be partly compiled and partly interpreted; Java in console mode is the required example.,60,CORE,4,L060#stage2-completion,L060#stage2-practice,L060-Q4;AQ060-Q5,S5.04,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S5.07,5,"Understand IDE features: context-sensitive prompts, dynamic syntax checking, prettyprint, expand/collapse, single-step, breakpoints, variable/expression inspection and report window.","IDE evidence must cover coding prompts; dynamic syntax error detection; prettyprint and expand/collapse presentation; and debugging with single stepping, breakpoints, variables, expressions and a report window.",60,CORE,14,L060#stage2-completion,L060#stage2-practice,L060-Q4;AQ060-Q2;AM060-Q4,S5.04,Low,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.01,6,"Distinguish data security, privacy and integrity.","Distinguish data security, data privacy and data integrity as separate concepts; evidence must not treat confidentiality, lawful/appropriate use and correctness/consistency as interchangeable.",62,CORE,3,L062#stage2-completion,L062#stage2-practice,AM080-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.02,6,Explain the need for data and computer-system security.,Show appreciation of the need for both security of data and security of the computer system; evidence must explain why protecting one layer does not replace the other.,62,CORE,3,L062#stage2-completion,L062#stage2-practice,L062-Q2,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.03,6,"Understand user accounts/passwords, digital signatures, biometrics, firewall, antivirus, anti-spyware and encryption as security measures.","Describe security measures for computer systems from a stand-alone PC to a network: user accounts, passwords, digital signatures, biometrics, firewall, anti-virus, anti-spyware and encryption are all required named evidence.",63;65;67;68,CORE,9,L063#stage2-completion;L065#stage2-completion;L067#stage2-completion;L068#stage2-completion,L063#stage2-practice;L065#stage2-practice;L067#stage2-practice;L068#stage2-practice,L063-Q5;L065-Q1;L065-Q2;AM080-Q2;AQ070-Q2;L068-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.04,6,"Understand virus, spyware, hackers, phishing and pharming threats.","Show understanding of threats posed by networks and the internet, including malware (virus and spyware), hackers, phishing and pharming; all five named threats require direct evidence.",63;64,CORE,6,L063#stage2-completion;L064#stage2-completion,L064#stage2-practice,L063-Q5;L064-Q4;L064-Q2,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.05,6,Understand restriction of access to data and computer systems as a risk-reduction method.,Describe methods that restrict the risks posed by threats to data and computer systems; evidence must match each control mechanism to the attack route and avoid claims of total prevention.,64;66;68,CORE,4,L064#stage2-completion,L064#stage2-practice,L066-Q3;AQ070-Q1;AR071-Q2,S6.02,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.06,6,Explain how encryption and access rights protect data.,"Describe security methods designed to protect data, including encryption and access rights; evidence must explain their different mechanisms and limitations.",66;67,CORE,4,L066#stage2-completion,L066#stage2-practice,L066-Q1;AQ070-Q2,S6.05,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S6.07,6,"Understand validation checks: range, format, length, presence, existence, limit and check digit.","Describe and use validation to protect data integrity, including range, format, length, presence, existence and limit checks and check digits; a type check is not a substitute for any named method.",69,CORE,7,L069#stage2-completion,L069#stage2-practice,L069-Q2;L069-Q4;AQ070-Q4,S6.01,High,0,Complete,,Fail,SCI-CONT-004,Blocked
S6.08,6,Understand verification: visual and double entry; parity byte/block and checksum.,"Describe and use verification during data entry (visual check and double entry) and during data transfer (parity check on a byte, block parity and checksum).",69,CORE,7,L069#stage2-completion,L069#stage2-practice,L069-Q3;L069-Q5;AQ070-Q5;AR071-Q1,S6.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S7.01,7,Show understanding of the need for and purpose of ethics as a computing professional.,"Version 2 requires both the need for professional ethics and its purpose; evidence must connect responsible professional decisions to public interest, competence and accountability.",72,CORE,3,L072#stage2-completion,L072#stage2-practice,AQ075-Q1;AR077-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S7.02,7,"Show understanding of the importance of joining a professional ethical body, including BCS and IEEE.","Version 2 names BCS (British Computer Society) and IEEE (Institute of Electrical and Electronics Engineers). Evidence must teach why joining matters, not merely expand the abbreviations or mention a code.",72,CORE,7,L072#stage2-completion,L072#stage2-practice,AQ075-Q1;AR077-Q1,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S7.03,7,Explain the need to act ethically and the impact of acting ethically or unethically for a given situation.,Version 2 requires scenario judgement plus consequences. Evidence must identify stakeholders and explain impacts of both ethical and unethical action; a label or generic list is insufficient.,72;73,CORE,4,L072#stage2-completion,L072#stage2-practice,L072-Q5;AR077-Q2;AM080-Q3,S7.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S7.04,7,Show understanding of the need for copyright legislation for software.,"Version 2 requires the need for copyright legislation, not only a definition. Evidence must connect protected software expression and restricted acts to enforceable permission, revenue or investment.",74,CORE,4,L074#stage2-completion,L074#stage2-practice,L074-Q3;AQ075-Q3,,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S7.05,7,Explain different software licensing types and justify a licence for a given situation.,"Version 2 explicitly includes the Free Software Foundation, Open Source Initiative, shareware and commercial software. All four must be taught; a scenario answer must justify permissions, restrictions, cost or support rather than choose by label alone.",74;75,CORE,6,L074#stage2-completion;L075#stage2-completion,L074#stage2-practice;L075#stage2-practice,AQ075-Q4;AQ075-Q5;L075-Q1;AM080-Q5,S7.04,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S7.06,7,"Show understanding of artificial intelligence, its applications and its social, economic and environmental impacts.","Version 2 requires applications of AI and impacts across all three named dimensions: social, economic and environmental. Evidence must connect an AI mechanism to stakeholder consequences, benefits, harms and a contextual judgement.",76,CORE,7,L076#stage2-completion,L076#stage2-practice,L076-Q5;AQ080-Q1;AQ080-Q2;AM080-Q3,S7.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.01,8,Explain limitations of file-based systems and how relational databases address them.,Version 2 requires both sides of the comparison: limitations of file-based storage/retrieval and relational-database features that address those limitations. Benefits must be linked to a mechanism rather than asserted generically.,78;79,CORE,7,L079#stage2-completion,L079#stage2-practice,L079-Q4;AM080-Q4,,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.02,8,"Understand entity/table, record/tuple, field/attribute, primary/candidate/secondary/foreign key, relationships, referential integrity and indexing.","Version 2 explicitly names entity, table, record, field, tuple, attribute, primary key, candidate key, secondary key, foreign key, one-to-one, one-to-many, many-to-many, referential integrity and indexing. Secondary key is retained as a distinct retrieval term, not an alias for an alternate candidate key.",80;81,CORE,17,L080#stage2-completion,L080#stage2-practice,AQ080-Q5;AQ085-Q1;L081-Q5,S8.01,High,1,Complete,,PendingIndependentSemanticReview,,NotReady
S8.03,8,Produce and interpret entity-relationship diagrams.,"Version 2 requires candidates to use an entity-relationship diagram to document a database design. Evidence must include entities, relationships and cardinality, not merely define entity and attribute.",82,CORE,2,L082#stage2-completion,L082#stage2-practice,L082-Q3;AQ085-Q2,S8.02,Medium,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.04,8,"Understand 1NF, 2NF and 3NF; explain 3NF and produce a normalised design.","Version 2 names First, Second and Third Normal Form and separately requires candidates to explain whether given tables are in 3NF and to produce a normalised design from a description, data or tables.",83,CORE,5,L083#stage2-completion,L083#stage2-practice,L083-Q3;AQ085-Q3,S8.02,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
S8.05,8,"Understand DBMS features: data dictionary, data modelling, logical schema, integrity, security, backup and access rights.","Version 2 explicitly requires data management including a data dictionary, data modelling, logical schema, data integrity and data security including backup procedures and access rights for individuals or groups.",78,CORE,11,L078#stage2-completion,L078#stage2-practice,L078-Q4;AM100-Q4,S8.01,High,0,Complete,,PendingIndependentSemanticReview,,NotReady
