lesson,visual_id,section_id,method,topic,required_facts,source,status,content_hash
004,explanation-overflow-img-1,explanation-overflow,Raster image,Academic knowledge-point infographic explaining Unsigned 8-bit overflow with a structured visual model.,"00000000₂ to 11111111₂ = 0 to 255 An unsigned 8-bit result cannot store a value above 255. Carry-out 11110000₂ + 00010000₂ = 1 00000000₂ The ninth bit is a carry-out beyond the 8-bit storage width. Boundary warning 01111111₂ + 00000001₂ = 10000000₂ No unsigned overflow: the result is 128, which still fits in 8 bits.",Lesson content and applicable syllabus row,NeedsFactReview,b2823c82368a9a13f12164b5e3804f05c48b9c20491de9e21f6f9a22bced70d1
004,explanation-rules-img-1,explanation-rules,Raster image,Academic knowledge-point infographic explaining Single-bit addition rules with a structured visual model.,"A full-adder truth table has eight A, B and carry-in combinations. 000 gives sum 0 carry 0; 001 and 010 give sum 1 carry 0; 011 gives sum 0 carry 1. 100 gives sum 1 carry 0; 101 and 110 give sum 0 carry 1; 111 gives sum 1 carry 1.",Lesson content and applicable syllabus row,NeedsFactReview,9a376fb183c776fa8347fff900ac7138cbd201f9e1864d2ec92c67ca2cba4320
005,bitVisual,converter,HTML/CSS,Two's complement bit visual,Two's complement bit visual,Lesson content and applicable syllabus row,NeedsFactReview,6856a3be266c7e2e6676afb1a92afdbb20cc2785a7a3fd68b9e40d2ed9e6754b
005,explanation-range-img-1,explanation-range,Raster image,Academic knowledge-point infographic explaining 8-bit signed ranges and zero with a structured visual model.,Sign-and-magnitude uses one sign bit and seven magnitude bits; its range is -127 to +127 and it has two zero patterns. One's complement forms a negative value by inverting all eight bits; its range is -127 to +127 and it has two zero patterns. Two's complement uses all eight bits as one weighted value with MSB place value -128. The 8-bit two's-complement range is -128 to +127 and it has one zero pattern. One's complement and two's complement do not store a separate magnitude field.,Lesson content and applicable syllabus row,NeedsFactReview,0c99bb792d06161975113b1f68ae1fe6db5f2714ea744ad7c2a28cfed3a78e04
005,explanation-systems-img-1,explanation-systems,Raster image,Academic knowledge-point infographic explaining Three ways to represent negative binary values with a structured visual model.,"Positive 23 in 8 bits is 00010111. The 8-bit sign-and-magnitude representation of -23 is 10010111. The 8-bit one's-complement representation of -23 is 11101000. The 8-bit two's-complement representation of -23 is 11101001. Every input, intermediate state and result must contain exactly 8 bits.",Lesson content and applicable syllabus row,NeedsFactReview,65b4862ba2d9d28bd8bced796f285f8f9d1e2b35c9689399bcc7be9e0155c236
005,explanation-twos-img-1,explanation-twos,Raster image,Academic knowledge-point infographic explaining Two’s complement method with a structured visual model.,"Write the positive magnitude using exactly 8 bits. Invert every bit, then add 1 to form the negative two's-complement value. For +45: 00101101 becomes 11010010 after inversion, then 11010011 after adding 1. The 8-bit value 11010011 represents -45 in two's complement. When the MSB is 1, quick decode uses unsigned value minus 256.",Lesson content and applicable syllabus row,NeedsFactReview,f2093e3f7484f23bdf1803216a1cde34adfc15f113302fe26c046097748ac7b3
006,bitVisual,tool,HTML/CSS,Binary fraction bit visual,Binary fraction bit visual,Lesson content and applicable syllabus row,NeedsFactReview,ff70d9388abb66df24bdf9d0ea6322ec64ed779b4e10c170a4b4bbd352ccc3c9
006,explanation-convert-img-1,explanation-convert,Raster image,Academic knowledge-point infographic explaining Converting simple binary fractions with a structured visual model.,"Binary fractional place values are 1/2, 1/4, 1/8 and 1/16 from left to right. 0.1010 binary equals 1/2 + 1/8 = 0.625 denary. 0.1100 binary equals 1/2 + 1/4 = 0.75 denary.",Lesson content and applicable syllabus row,NeedsFactReview,1cd7892932e9ad36cf3413a77cc8205b0b72c38c5f22775be7d5305c35d7aeb6
006,explanation-point-img-1,explanation-point,Raster image,Academic knowledge-point infographic explaining Binary fractional place value with a structured visual model.,Example 10.101₂ 10.101₂ = 2 + 1/2 + 1/8 = 2.625₁₀,Lesson content and applicable syllabus row,NeedsFactReview,296f42e917be5195e877e35121baeec1fc8e2baa9bdf4b610bdbae9c1004b154
006,explanation-precision-img-1,explanation-precision,Raster image,Academic knowledge-point infographic explaining Precision limits: why computers sometimes approximate with a structured visual model.,"0.75 denary equals 0.1100 binary exactly. With four fractional bits, truncating 0.1 gives 0.0001 binary, which equals 0.0625 denary. The truncation error is 0.0375. Rounding 0.1 to the nearest four-bit fractional value gives 0.0010 binary, which equals 0.125 denary. The rounding error is 0.025, so 0.125 is nearer to 0.1 than 0.0625.",Lesson content and applicable syllabus row,NeedsFactReview,75b53bfc85744cf54ebf3934d790480cc73e31cbc1c554cfbb28bf2981969d26
007,byteVisual,tool,HTML/CSS,Character byte visual,Character byte visual,Lesson content and applicable syllabus row,NeedsFactReview,a35876b7e754e48669c2b1f20b165b0018c5ce661c5e62eead6e6a704a396d81
007,explanation-ascii-img-1,explanation-ascii,Raster image,Academic knowledge-point infographic explaining ASCII and extended ASCII with a structured visual model.,"Standard ASCII Uses 7 bits, so it can represent 2⁷ = 128 possible codes. It covers common English letters, digits, punctuation and control characters. Extended ASCII Uses 8 bits, so it can represent 2⁸ = 256 possible codes. It adds extra characters, but still cannot cover the world’s writing systems. Character Denary code 8-bit binary Exam note 01000001 Example only; no need to memorise.",Lesson content and applicable syllabus row,NeedsFactReview,b64c0d43334e59d57a013b1a3a30c6bae365c2af04adc63eb582f02c62b77f95
007,explanation-concept-img-1,explanation-concept,Raster image,Academic knowledge-point infographic explaining What a character set actually does with a structured visual model.,"Character Character set A defined collection of characters and the code assigned to each character. Character code The numeric value used to represent a character inside the computer. Binary storage The numeric code is stored using bits, for example 65₁₀ = 01000001₂.",Lesson content and applicable syllabus row,NeedsFactReview,c5c07dedfdbd46385f59d4047fecfd6ab5202b83d2aa82e1e8fef8a99461d56d
007,explanation-encoding-img-1,explanation-encoding,Raster image,Academic knowledge-point infographic explaining Character set vs encoding with a structured visual model.,"Character set Defines the characters and their code points or code values. Example idea: A has a defined code in ASCII and Unicode. Encoding Defines how those codes are stored as bytes. For AS exam answers, keep this distinction simple unless the question gives a specific encoding. A good exam sentence: “Unicode can represent a wider range of characters, so it is more suitable for multilingual text.”",Lesson content and applicable syllabus row,NeedsFactReview,50cbdfcbf37160f73dd32655b5798d2201ad77f353e77bbe69cab08df5f965ca
007,explanation-unicode-img-1,explanation-unicode,Raster image,"Academic knowledge-point infographic explaining Unicode: more characters, more global use with a structured visual model.","Unicode is designed to represent characters from many languages and symbol systems. Unicode supports far more characters than ASCII, including Chinese characters and many symbols. Trade-off More possible characters may require more bits per character, depending on the encoding used. Emoji are characters assigned Unicode code points and rendered by software using available fonts or graphics.",Lesson content and applicable syllabus row,NeedsFactReview,c9df8464d4d30ead41517c98da6cd77b8f5236272dab9ed7d64f3c7560099325
008,explanation-depth-img-1,explanation-depth,Raster image,Academic knowledge-point infographic explaining Colour depth: bits per pixel with a structured visual model.,"1-bit colour 2¹ = 2 possible colours. Useful for black/white examples. 4-bit colour 2⁴ = 16 possible colours. 8-bit colour 2⁸ = 256 possible colours. 24-bit colour 2²⁴ = 16 777 216 possible colours. Higher colour depth allows more possible colours, but it cannot add detail that is absent from the original image.",Lesson content and applicable syllabus row,NeedsFactReview,d366088db33d49911a62e8a0c7c7606713397c95cb1e5694b811b3950ebcffef
008,explanation-formula-img-1,explanation-formula,Raster image,Academic knowledge-point infographic explaining Bitmap file size formula with a structured visual model.,file size in bits = width × height × colour depth file size in bytes = bits ÷ 8 100 × 80 × 8 = 64 000 bits = 8000 bytes,Lesson content and applicable syllabus row,NeedsFactReview,fd452fdda21a1c6b7603223d908bffd6b0494738df7eb418a99080146cd242f1
008,explanation-pixels-img-1,explanation-pixels,Raster image,Academic knowledge-point infographic explaining Bitmap file header and pixel data with a structured visual model.,"A bitmap file contains a file header and pixel data. The file header stores metadata needed to interpret the bitmap; it is not an image pixel. Pixel-data size is width x height x colour depth. When a question says to ignore the file header, do not add metadata bytes to the pixel-data calculation.",Lesson content and applicable syllabus row,NeedsFactReview,0b3788b4986663b021dc239e9e32a03c50f8b4007d3d34ee0ff5944d88e68b80
008,explanation-resolution-img-1,explanation-resolution,Raster image,Academic knowledge-point infographic explaining Resolution: width × height with a structured visual model.,Pixel dimensions 100 × 80 means 100 pixels across and 80 pixels down. Total pixels: 100 × 80 = 8000. Quality effect Higher resolution can show more detail because more pixels are stored. It also increases file size if colour depth stays the same. Click pixels to toggle them. Each square is one stored picture element.,Lesson content and applicable syllabus row,NeedsFactReview,9bc1dbc6f935871bdb27b97846a2e928c2b4e297e26c362a33498f0831cd6a1b
009,explanation-chain-img-1,explanation-chain,Raster image,Academic knowledge-point infographic explaining The calculation chain with a structured visual model.,1. Pixels width × height pixels × colour depth 3. Bytes bits ÷ 8 4. Metadata add only if the question includes it 100 × 80 × 8 = 64 000 bits = 8000 bytes,Lesson content and applicable syllabus row,NeedsFactReview,3693c3fb889b8a6aee1721795e53d21d444a75e9c9c5d1b238dc4cc8e181662b
009,explanation-metadata-img-1,explanation-metadata,Raster image,"Academic knowledge-point infographic explaining Metadata is data about the image, not the pixels themselves with a structured visual model.","Examples Width, height, colour depth, file type, date created, camera model, location data or thumbnail data. Metadata helps software interpret, organise, search or display the image correctly. Calculation rule Add metadata size only when the question gives it and asks for total file size. Exam wording matters: “ignore metadata” means pixel data only.",Lesson content and applicable syllabus row,NeedsFactReview,282ac4e9c0af637bd2b52d451043788deb4ae9360054d4f3f66d635d88876585
009,explanation-units-img-1,explanation-units,Raster image,Academic knowledge-point infographic explaining Units: do not trip at the finish line with a structured visual model.,"When a formula gives a size in bits, divide by 8 to convert to bytes. When binary units are required, divide bytes by 1024 for KiB and continue by factors of 1024. A quantity may already be supplied in bytes or a larger unit; not every measurement starts as bits.",Lesson content and applicable syllabus row,NeedsFactReview,a286d58e6546d1d99e0621d1cb419b439feb05a8725de1f4aa4cf2de9db2b86e
010,explanation-duration-img-1,explanation-duration,Raster image,Academic knowledge-point infographic explaining Duration: how long the sound lasts with a structured visual model.,"Seconds matter A 10-second clip stores ten times as many samples as a 1-second clip if the sample rate is unchanged. Mono for today This lesson uses mono sound, so there is one channel. Stereo channels are handled in the next calculation lesson.",Lesson content and applicable syllabus row,NeedsFactReview,c8044a8f060c8e7464ee7b115eafe4502155d6d7c9b0452738bbe2fed63fce9f
010,explanation-formula-img-1,explanation-formula,Raster image,Academic knowledge-point infographic explaining Basic mono sound file size formula with a structured visual model.,size in bits = sampling rate × sampling resolution × duration size in bytes = bits ÷ 8 8000 × 16 × 10 = 1 280 000 bits = 160 000 bytes,Lesson content and applicable syllabus row,NeedsFactReview,d17f6c8db4c0592ad2b38ce78f39ec6c17fc98288f8ffa9cbff7bf2194a5f2c5
010,explanation-rate-img-1,explanation-rate,Raster image,Academic knowledge-point infographic explaining Sampling rate: samples per second with a structured visual model.,"Definition Sampling rate is the number of samples taken each second. It is commonly measured in hertz, Hz. A higher sampling rate records more measurements each second. This can improve accuracy, but increases file size.",Lesson content and applicable syllabus row,NeedsFactReview,f83934a1d9b0c38f5b7f1cbe41f64c99a2dac6190bbc13bffd20443394a73924
010,explanation-resolution-img-1,explanation-resolution,Raster image,Academic knowledge-point infographic explaining Sampling resolution: bits per sample with a structured visual model.,"Sampling resolution is the official syllabus term; sample resolution is a common synonym. An 8-bit sampling resolution provides 2^8 = 256 possible amplitude levels. A 16-bit sampling resolution provides 2^16 = 65,536 possible amplitude levels. More bits per sample can represent amplitude more precisely, but use more storage.",Lesson content and applicable syllabus row,NeedsFactReview,b344511b97e2764c8b17d2fb1bd72d855a0fc4a46196cae760f182cbd92d467e
010,explanation-sampling-img-1,explanation-sampling,Raster image,Academic knowledge-point infographic explaining Sampling turns an analogue wave into digital values with a structured visual model.,Analogue sound A continuous wave. The pressure changes smoothly over time. A measurement of the wave amplitude at one moment in time. Digital sound A sequence of sample values stored as binary numbers.,Lesson content and applicable syllabus row,NeedsFactReview,1ba8025cc1008a31fe212ef1db4a9977d84f9712acc97bc4cfa5f572baec9e3e
010,overview-svg-1,overview,Inline SVG,Sampled sound wave,Sampled sound wave,Lesson content and applicable syllabus row,NeedsFactReview,5f5bcc08bc169920182de60b863bcdbcd3fe523597ba84313b4763425913756c
011,explanation-channels-img-1,explanation-channels,Raster image,Academic knowledge-point infographic explaining Channels: mono and stereo with a structured visual model.,"One channel of audio. Use channel factor 1. rate × resolution × duration × 1 Two channels, commonly left and right. Use channel factor 2. rate × resolution × duration × 2",Lesson content and applicable syllabus row,NeedsFactReview,cf39987bf3e96a21d04067233a56953ea051764fd43703308c32f8d304a93503
011,explanation-formula-img-1,explanation-formula,Raster image,Academic knowledge-point infographic explaining The full uncompressed sound formula with a structured visual model.,"size in bits = sampling rate × sampling resolution × duration × channels size in bytes = bits ÷ 8 KiB = bytes ÷ 1024; MiB = KiB ÷ 1024 Sampling rate samples per second, measured in Hz Sampling resolution bits used for each sample Duration length of the sound in seconds Channels mono = 1, stereo = 2",Lesson content and applicable syllabus row,NeedsFactReview,3c068e0bd7967cef95508306898ecbeab60b0715be269962406482fca6c4ed4f
011,explanation-tradeoffs-img-1,explanation-tradeoffs,Raster image,Academic knowledge-point infographic explaining Parameter changes and consequences with a structured visual model.,Higher sampling rate More samples per second; may improve accuracy; increases file size. Higher sampling resolution More bits per sample; more amplitude levels; increases file size. Longer duration More seconds of samples; increases file size in direct proportion. More channels More separate audio streams; stereo doubles mono size when other factors match.,Lesson content and applicable syllabus row,NeedsFactReview,2de70746ff8844a65269e6d1975138bbe8680e0de75bc3171d812e6fd04748e9
011,explanation-units-img-1,explanation-units,Raster image,Academic knowledge-point infographic explaining Unit conversion without changing the answer with a structured visual model.,The formula gives bits first. 8 bits = 1 byte. 1 KiB = 1024 bytes. 1 MiB = 1024 KiB. Do not divide by 1000 when the question asks for KiB or MiB.,Lesson content and applicable syllabus row,NeedsFactReview,0ccb70033a66b604881a7481dc6911ca85ce4db1adcf6ed7355cff80957588ec
012,explanation-lossless-img-1,explanation-lossless,Raster image,Academic knowledge-point infographic explaining Lossless compression: exact reconstruction with a structured visual model.,"Definition Lossless compression reduces file size while allowing the original data to be restored exactly. Suitable uses Text files, program files, spreadsheets, databases, medical records and backups. If one changed bit could change meaning or break the file, lossless is the safer answer.",Lesson content and applicable syllabus row,NeedsFactReview,3b33039d866c089c39a7efa733ac6376f5c0c41680527d58592db3579dcf4786
012,explanation-lossy-img-1,explanation-lossy,Raster image,"Academic knowledge-point infographic explaining Lossy compression: smaller, but not exact with a structured visual model.","Definition Lossy compression reduces file size by permanently removing some data. Suitable uses Images, video and sound where small quality loss may be acceptable. Lossy is not suitable when exact reconstruction is required.",Lesson content and applicable syllabus row,NeedsFactReview,4c8b7c896588fc4dbf7203a9d534c6182e3d5d6fe0ea6ba27f007e9797cbdc7a
012,explanation-purpose-img-1,explanation-purpose,Raster image,Academic knowledge-point infographic explaining Why compress data? with a structured visual model.,Less storage Smaller files use less disk or memory space. Faster transfer Smaller files need less bandwidth and may download or upload faster. Trade-off Compression and decompression may require processing time.,Lesson content and applicable syllabus row,NeedsFactReview,1b8d1797e82f86748ca27c847dfddb66bfb2428bcf924f7968e281eb3336d2eb
012,explanation-ratio-img-1,explanation-ratio,Raster image,Academic knowledge-point infographic explaining Compression ratio and saved space with a structured visual model.,compression ratio = original size : compressed size percentage saved = ((original - compressed) ÷ original) × 100 Example: 1000 KB → 250 KB gives ratio 4:1 and 75% saved.,Lesson content and applicable syllabus row,NeedsFactReview,cb7865b539be1e36e459d9a0a4039cd7d377b9ae8194e48a34d6ffaeecadf8f4
013,explanation-dictionary-img-1,explanation-dictionary,Raster image,Academic knowledge-point infographic explaining Dictionary-style compression with a structured visual model.,"Find repeated patterns and store them once in a dictionary. Reference Replace later occurrences with a shorter code or pointer to the dictionary entry. COMPUTER COMPUTER COMPUTER can store COMPUTER once, then use references. Dictionary #1 = COMPUTER Compressed form #1 #1 #1 Decoded form COMPUTER COMPUTER COMPUTER",Lesson content and applicable syllabus row,NeedsFactReview,a66072db2998972380cb78a71500c3edcd566d52e22195154389ad5111b51b2b
013,explanation-effectiveness-img-1,explanation-effectiveness,Raster image,Academic knowledge-point infographic explaining When does it help? with a structured visual model.,"RLE helps Long repeated runs, simple graphics, repeated pixels or repeated characters. RLE struggles Alternating or random-looking data with very short runs. Dictionary helps Repeated words, phrases, byte patterns or sequences across the file. Both methods are lossless if the dictionary and encoded data allow exact reconstruction.",Lesson content and applicable syllabus row,NeedsFactReview,84029da7399b7cc257aee867c3f039b949c8f05b537eef4449420c64a34d5c6d
013,explanation-rle-img-1,explanation-rle,Raster image,Academic knowledge-point infographic explaining Run-length encoding with a structured visual model.,Encoding rule Replace each consecutive run with count + value. AAAAAABBBBCCCCCCCC → 6A4B8C Decoding rule Expand each count and value back into repeated data. 3A2B1C → AAABBC,Lesson content and applicable syllabus row,NeedsFactReview,188caa7f6b53b0002b147950cb9e7e7754e0723c39ea3b9e15a0fd040ab12f7b
014,explanation-cases-img-1,explanation-cases,Raster image,Academic knowledge-point infographic explaining System cases with a structured visual model.,Multilingual chat app Use Unicode so messages can include characters from many languages. Sensor logger Use enough bits and signed representation if values may be negative. Website thumbnail Lower resolution and lossy compression may be acceptable to reduce transfer time. Legal archive Use lossless compression because exact reconstruction is required.,Lesson content and applicable syllabus row,NeedsFactReview,51255e500405e4da7e87a6f52b1fb9adbadff66e62e9a6cf3f791c18b9958941
014,explanation-framework-img-1,explanation-framework,Raster image,Academic knowledge-point infographic explaining A decision framework with a structured visual model.,"1. What data? Integer, signed value, text, image, sound or repeated data. 2. What range? Check minimum, maximum, precision and whether negative values are possible. 3. What quality? Choose resolution, colour depth, sample rate or sampling resolution only as high as needed. 4. What constraints? Storage, bandwidth, compatibility, exact reconstruction and processing cost.",Lesson content and applicable syllabus row,NeedsFactReview,9ed931ac945c6b0231884cdcf39fd0b8ddbe12890c92245f1feb1c2df1315cfe
014,explanation-tradeoffs-img-1,explanation-tradeoffs,Raster image,Academic knowledge-point infographic explaining Useful trade-off sentences with a structured visual model.,"Higher image resolution or colour depth can improve image quality and increases image file size. Higher sample rate or sample resolution can improve sound accuracy and increases audio file size. Use an audio or neutral data-file symbol for sound data, not an image-file thumbnail.",Lesson content and applicable syllabus row,NeedsFactReview,1033fc74079edc965b9052e26fdf354924fd64bf6bab1f18f21f9f8a2937d306
015,explanation-methods-img-1,explanation-methods,Raster image,Academic knowledge-point infographic explaining Section 1 method bank with a structured visual model.,"Storage units 1 KiB = 1024 bytes. 1 MiB = 1024 KiB. Decimal prefixes use 1000, binary prefixes use 1024. Binary to denary Add active place values. For 8-bit unsigned, range is 0 to 255. File size Image bits = width x height x colour depth. Sound bits = sample rate x sampling resolution x duration x channels. Compression choice Lossless allows exact reconstruction. Lossy removes data permanently but can reduce file size more.",Lesson content and applicable syllabus row,NeedsFactReview,f11eea98414d1556a67fd3abc4617903700b2630f2b27b473af66a07fbe26595
015,explanation-sprint-img-1,explanation-sprint,Raster image,Academic knowledge-point infographic explaining Six-minute review sprint with a structured visual model.,"Timed section Use the timer for a short retrieval round. The goal is not panic; the goal is clean method under a clock. Convert 10101100 to denary. Calculate the size in bits of a 100 x 50 bitmap image with 8-bit colour depth. State why Unicode is suitable for a multilingual app. Choose lossless or lossy compression for a legal document archive and justify the choice. 1: 172, because 128 + 32 + 8 + 4 = 172. 2: 100 x 50 x 8 = 40 000 bits. 3: Unicode supports a wider range of characters, so it can represent many languages. 4: Lossless, because the document must be reconstructed exactly.",Lesson content and applicable syllabus row,NeedsFactReview,cc341a3b65c25b1f4d0a9cfc85136a9813d4ed67755b409160dbce547fa3804f
015,explanation-triage-img-1,explanation-triage,Raster image,Academic knowledge-point infographic explaining Question triage: choose the toolbox first with a structured visual model.,"Number bases Look for binary, denary, hexadecimal, place values, carries, overflow or two's complement. Text representation Look for ASCII, Unicode, character set, character code, multilingual text or symbols. Images and sound Look for resolution, colour depth, sampling rate, sampling resolution, duration and file size. Compression Look for lossless, lossy, exact reconstruction, reduced quality, RLE or repeated data.",Lesson content and applicable syllabus row,NeedsFactReview,f84099940b8e360348d0b9f1cd3b39122e32e5b7363ddb21b6d5bdda65af73f3
016,explanation-lanwan-img-1,explanation-lanwan,Raster image,Academic knowledge-point infographic explaining Why LAN and WAN management differs through a cause-and-effect diagram.,"A LAN usually stays within one organisation's controlled site. A WAN crosses distance and often uses provider-owned infrastructure. More owners and routes add latency, cost and fault-finding complexity.",Cambridge 9618 syllabus 2027-2029 section 2.1,NeedsFactReview,32f1f5814723f296f1aea2caf036478b58d2cd8ce1cbae126af1914e67d792c0
016,explanation-purpose-img-1,explanation-purpose,Raster image,Academic knowledge-point infographic explaining How a shared resource becomes useful through a cause-and-effect diagram.,A device packages a request and names the destination. The network carries that request to the shared resource. One managed resource can then serve many authorised devices.,Cambridge 9618 syllabus 2027-2029 section 2.1,NeedsFactReview,b8516f702c0bc04f0084f2d9e14f5f9bc16c63dd9892f25c112f614cb95958d7
016,explanation-topologies-img-1,explanation-topologies,Raster image,Academic knowledge-point infographic explaining Why connection patterns change risk through a cause-and-effect diagram.,A topology diagram's link count must match the physical links actually drawn. Alternative paths improve resilience but require additional links and ports. Use one consistent topology in the mechanism and result views; this example has nine links including the inter-switch link.,Cambridge 9618 syllabus 2027-2029 section 2.1,NeedsFactReview,e6abe07fdb0bf3b81031abfac61d6ef397b8772c1cc3d31adecf049f14c791ff
016,topologies-circle-10,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,d33a57cdd1f5ead5139f4ecc476c207f60465b77b3d23cb10091e840e13c73f9
016,topologies-circle-11,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,91685d3a981d203f64546c1b50a03fbb1cadb2d375f0d24fa5f5bacc048503c8
016,topologies-circle-18,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,10fd7b8c2e6bb4f69cbc20d34783fd22c8151a0439368d66398d958fa20c3b82
016,topologies-circle-19,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,2a988a53df606e170ea664e23cd34ba1e3a3af96cb3ad9d94f691cf9e5bcc17b
016,topologies-circle-20,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,754884a743d2cf70f275a9c1d369b5f6394c5f2b65266744c6d9b7d3561ec626
016,topologies-circle-21,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,04e67857caae1037c51a27e1f197008267443babff2ac80d34d4ff77e202a52e
016,topologies-circle-31,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,3479bad03838500dca1b9cf776400eb1305b101aa12f20eba9606543aa059d85
016,topologies-circle-32,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,43ab1f971445e75b59c6dae4719d3d6ad448f7d4390d4b4d51689faf0325719b
