lesson,visual_id,method,asset_display,semantic_pass_1,semantic_pass_2,semantic_status,content_hash,release_status
004,explanation-method-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,a2bd3fb011b5df401b14b1f63ec65c9e74133147097477459b0cb14badc951e5,Approved
004,explanation-overflow-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b2823c82368a9a13f12164b5e3804f05c48b9c20491de9e21f6f9a22bced70d1,Approved
004,explanation-rules-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,9a376fb183c776fa8347fff900ac7138cbd201f9e1864d2ec92c67ca2cba4320,Approved
005,bitVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,6856a3be266c7e2e6676afb1a92afdbb20cc2785a7a3fd68b9e40d2ed9e6754b,Approved
005,explanation-range-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0c99bb792d06161975113b1f68ae1fe6db5f2714ea744ad7c2a28cfed3a78e04,Approved
005,explanation-twos-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,f2093e3f7484f23bdf1803216a1cde34adfc15f113302fe26c046097748ac7b3,Approved
006,bitVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,ff70d9388abb66df24bdf9d0ea6322ec64ed779b4e10c170a4b4bbd352ccc3c9,Approved
006,explanation-convert-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,1cd7892932e9ad36cf3413a77cc8205b0b72c38c5f22775be7d5305c35d7aeb6,Approved
006,explanation-point-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,296f42e917be5195e877e35121baeec1fc8e2baa9bdf4b610bdbae9c1004b154,Approved
006,explanation-precision-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,75b53bfc85744cf54ebf3934d790480cc73e31cbc1c554cfbb28bf2981969d26,Approved
007,byteVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,a35876b7e754e48669c2b1f20b165b0018c5ce661c5e62eead6e6a704a396d81,Approved
007,explanation-ascii-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b64c0d43334e59d57a013b1a3a30c6bae365c2af04adc63eb582f02c62b77f95,Approved
007,explanation-concept-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c5c07dedfdbd46385f59d4047fecfd6ab5202b83d2aa82e1e8fef8a99461d56d,Approved
007,explanation-encoding-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,50cbdfcbf37160f73dd32655b5798d2201ad77f353e77bbe69cab08df5f965ca,Approved
007,explanation-unicode-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c9df8464d4d30ead41517c98da6cd77b8f5236272dab9ed7d64f3c7560099325,Approved
008,explanation-depth-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,d366088db33d49911a62e8a0c7c7606713397c95cb1e5694b811b3950ebcffef,Approved
008,explanation-formula-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,fd452fdda21a1c6b7603223d908bffd6b0494738df7eb418a99080146cd242f1,Approved
008,explanation-pixels-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0b3788b4986663b021dc239e9e32a03c50f8b4007d3d34ee0ff5944d88e68b80,Approved
008,explanation-resolution-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,9bc1dbc6f935871bdb27b97846a2e928c2b4e297e26c362a33498f0831cd6a1b,Approved
009,explanation-chain-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,3693c3fb889b8a6aee1721795e53d21d444a75e9c9c5d1b238dc4cc8e181662b,Approved
009,explanation-metadata-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,282ac4e9c0af637bd2b52d451043788deb4ae9360054d4f3f66d635d88876585,Approved
009,explanation-units-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,a286d58e6546d1d99e0621d1cb419b439feb05a8725de1f4aa4cf2de9db2b86e,Approved
010,explanation-drawing-list-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,251add53856d346bbc145daf4056baf84d8fc1bd11a94aecc88be2aad1e4d465,Approved
010,model-svg-1,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,d2bb7a68dd38ec36da968e5057078aa1507c8b26ae7aa5c758f8fbf86272efbe,Approved
011,explanation-duration-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,f516c14bdd7729ee33926870d918c59bd3d463165f33d2b460be74d26c6127f0,Approved
011,explanation-formula-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7638e72c2690cb9d8ed4546703a43fe454dde473afd588476d0b892ebdebf7ef,Approved
011,explanation-rate-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,fdbf245149dbcb5fc0fa070e7fac6fb2432555d8868585d6a1de624df05d1cff,Approved
011,explanation-resolution-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e379de6321c0be1f4ce19996b407ea718765b83e81ce81270c8a5cfa29939f22,Approved
011,explanation-sampling-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,aa5b0c0c7aa09c194add92269f5b058d0f136c3792c857ce05be1fe825e2238f,Approved
011,overview-svg-1,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,5f5bcc08bc169920182de60b863bcdbcd3fe523597ba84313b4763425913756c,Approved
012,explanation-channels-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,51b8431e71e2fa114b65ff5e8c2e3cd40bfb21241a6ee30d6bbc126fab2b22bb,Approved
012,explanation-formula-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,fea1d31510c9272b6143c096f661c514b53212e492756c82859e634e66f1a5e9,Approved
012,explanation-tradeoffs-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,750622eda16bc5f069606e8dc917d97b12bb0ba9b055ad6d17470bd213504f42,Approved
012,explanation-units-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e37efa17e4a0a8a51b33cd35480d63fb746c2cc5af5abddcba6918d4428e085d,Approved
013,explanation-lossless-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0ab4545bba52ace49539b80f7ae07cd57ee0ef036c54aad2c567cda328d021f1,Approved
013,explanation-lossy-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,bfa63d725d86bebee562b6cdc46e66d40b5d84d3b43feed37b54063a444faee5,Approved
013,explanation-purpose-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,cc38012ba946c516f6e527d98cfe74e6a64b9254be7ba875de0dc1e0ac8639a5,Approved
013,explanation-ratio-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c648e1fef2c75615dbfe6bb710ab8f96380c529446197b509b6cc3d08ade00cf,Approved
014,explanation-dictionary-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,813525031045b7171bf2b563e3e6849e66ec53549f25949cbb254ca62f716700,Approved
014,explanation-effectiveness-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,daff4b04a7d70fce42bae23da111ad80cb7e3855d4e97e53cab12eec302a6c09,Approved
014,explanation-rle-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,56db893cd6217de970b75baa4604a7a1439885eccb4c87ae8928516d4a406941,Approved
015,explanation-cases-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,52ae047e5d427728da72bdb2601e25e58a7befd7c443d73a442118ac6eae54ba,Approved
015,explanation-framework-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,72b0ed98269602bdd3b4e31475557ceb81185624624d93a01fd22862130fc675,Approved
015,explanation-tradeoffs-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,fe77eae18bbe0c427d349b36e517aeaa3dc747d28a966295d4ccdcf6e361b117,Approved
016,explanation-methods-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,91f5f22a937f5cedce832eb70ce86bab3afd672ef52d4a61580af91e9ae9d612,Approved
016,explanation-sprint-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,480047f85c82e66ad61dc69935d56b5443b5779cb10a0a18600a87223f2d1507,Approved
016,explanation-triage-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c3f48b9527f5b18d56cea2c64d67b4516bf1c300ac6d6112dece34e1043fa214,Approved
017,explanation-lanwan-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,d3f6c948435488b3d0ed284ba6ec8fde03df99bfd6ab166ce3c7a09171b91791,Approved
017,explanation-purpose-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,8eaa1187fc75c7c11251dac97a873466867b83533a56cf914d5aee94cb25038f,Approved
017,explanation-topologies-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,503c0eba7233fcb2b9313ee715ac7787e475a9dd0a804b134e6061cd8e814979,Approved
017,topologies-circle-10,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,d33a57cdd1f5ead5139f4ecc476c207f60465b77b3d23cb10091e840e13c73f9,Approved
017,topologies-circle-11,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,91685d3a981d203f64546c1b50a03fbb1cadb2d375f0d24fa5f5bacc048503c8,Approved
017,topologies-circle-18,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,10fd7b8c2e6bb4f69cbc20d34783fd22c8151a0439368d66398d958fa20c3b82,Approved
017,topologies-circle-19,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,2a988a53df606e170ea664e23cd34ba1e3a3af96cb3ad9d94f691cf9e5bcc17b,Approved
017,topologies-circle-20,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,754884a743d2cf70f275a9c1d369b5f6394c5f2b65266744c6d9b7d3561ec626,Approved
017,topologies-circle-21,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,04e67857caae1037c51a27e1f197008267443babff2ac80d34d4ff77e202a52e,Approved
017,topologies-circle-31,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,3479bad03838500dca1b9cf776400eb1305b101aa12f20eba9606543aa059d85,Approved
017,topologies-circle-32,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,43ab1f971445e75b59c6dae4719d3d6ad448f7d4390d4b4d51689faf0325719b,Approved
017,topologies-circle-33,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,924564cac98ba855b85ec30932daebb489120e7aaca164ff505b35dc8b400c57,Approved
017,topologies-circle-34,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,4c347210877432c6f3c4e0bc7957a667fd207415a68df66056e11d1a77ce3a18,Approved
017,topologies-circle-43,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,802b9399dc34b60c27e2c4a762af20172ea2ea44dcc4e9981425d4b57ff37bd3,Approved
017,topologies-circle-44,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c174aca428bfb5d7db72c079bfde33ad10f241666c1082799e7c210c9721b019,Approved
017,topologies-circle-45,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,aa908f82bda4b93be2f62fe3052e8b1a76348bb9ab7a43a698c259263ab05bc4,Approved
017,topologies-circle-46,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,71dae4e8fb682a0bf865a4d04e6db448fa81ae010f28d13488aa1b3db5597c76,Approved
017,topologies-circle-47,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,26e944a7073afd9f56ada38d28ccb44b801b3da767f833d2fdf48d7f72eb349e,Approved
017,topologies-circle-48,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,6f8a372f493f515c24608df31783d7fd326a62fba00f467826034865f9c3e1ce,Approved
017,topologies-circle-8,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b0f4312150e1b79bbc82334e26874d12aad6dd51c3e0de3ad683b538ad5c45e5,Approved
017,topologies-circle-9,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e1aba03c05462bf7026d6115de4cb0825f6b3c30edef03c882fa1d7d88013568,Approved
017,topologies-div-1,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,a8dfd7c9de6c2ec52f79cc3abe44234d3287b9faed505161b53e32790d6446f7,Approved
017,topologies-line-14,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,ef0e49a41aa0cabc67847e45fa73a4e8677032057a0fa2aad4e6cae22f33b1fb,Approved
017,topologies-line-15,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b08fa59150482a9eccee4729c3bda00391367b4301fcaf1aad7614685d84600e,Approved
017,topologies-line-16,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7c382ec43208952337ea9dbb593296c9c89f2aed63c74ca3a36063911f4e0efc,Approved
017,topologies-line-17,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,bc352cf3ed465d7f8da4e92bb069e11effc211455ae3e79f0cd3629d43ced990,Approved
017,topologies-line-25,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,754bda297abdd85c2a7b35af03f5b0107975a726ba12f6a025d0736d37728323,Approved
017,topologies-line-26,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,dec7aaa1522554e5dc6647e5a7a14f6e9e46287606e03ba361d92581506acda0,Approved
017,topologies-line-27,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c36d929035af20b93cc83a6bb552b52173c1a59d366c0e249fac3031af2d9f44,Approved
017,topologies-line-28,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b78443d45484188062864c9d19782dbfb28ef23f724e58f3e95e75f0cf53abef,Approved
017,topologies-line-29,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7e8eb65c279072c3b09c11897ef7a37f4ebbd1896f3fbb7ff027b814b3995873,Approved
017,topologies-line-3,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,53d8cbe010ce3c145d32150b952dcf269ffe7252fe9a825f586b90f84dc52644,Approved
017,topologies-line-30,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e2d7ef9041d5e0eaa241e5f9278181675d7f1f43132a6aeccd04a3397076547c,Approved
017,topologies-line-36,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,1cef2cc2a993439a94c84c8e1ac1d18c8f8c52c3d81f423a00f0020521ab5c7f,Approved
017,topologies-line-37,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e7dd2dd276161baa1659c6ee8a7370ae6b934c3fa5e1fbdb50b4ce2b22f0a113,Approved
017,topologies-line-38,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7e9418c53b6e3ccead32ba6077bd8abc513c7dbc614c2efeb7f987258480ba0f,Approved
017,topologies-line-39,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,f5d149f69a4648b558545e7be8cf8ac558abb1af0d7e11b6f497d1949dbe0200,Approved
017,topologies-line-4,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,f5925797d44bddd628eafa5b3ccf3cb6e5ce5a1cbb57eba60796993679290cb2,Approved
017,topologies-line-40,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7f7d82e252388e08d0ce2d2413e6bc726c4a5781ded25b5ec7d926e735dfc7e4,Approved
017,topologies-line-41,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,9013244d071b5378705c5018b04229d97fa37c4e68834d40777d96cd221ad643,Approved
017,topologies-line-42,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,17899dd4d2af78527fbe9b7f72d0f48bdf59bbd6755ccd470cd96b5502cb1cec,Approved
017,topologies-line-5,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,2e0213e7659a43fcc2a2edc6aecc520f1a45011b544c95176cd17c45663dc9a7,Approved
017,topologies-line-6,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,eadcdd723627a598fe19b60aff8988e95192e2bde06ed5e86670d4c9c38dba7e,Approved
017,topologies-line-7,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,da8218e5662dc8821b10a37181222f481df16c5a42ef0f0edc4146897b29185e,Approved
017,topologies-rect-22,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,52f83baf942a2b13ca72606a6b78c3b4600add147bab4a3fc106406bc5f85c63,Approved
017,topologies-rect-49,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,15be98558c8765f31d05bed252457344d3d8c565bcab52580aadd90edaf90161,Approved
017,topologies-rect-50,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,9a3d002f443b8c3f3266ae8e257b5bfce1daa2438000a176da5a5254581f937a,Approved
017,topologies-svg-13,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c0807d85331b5367ca67d0bd24005e2b6063064decfa204609645acaa7f71d63,Approved
017,topologies-svg-2,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,2b64eaa0c9801bfecadf58d02a2c7a06e2e5a07adf15c4b30e46439ae9bca70f,Approved
017,topologies-svg-24,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,2732b5392e4139e7c2416b3d3f00446c78abb2ac9310ca50de72ecbcdb88cb5a,Approved
017,topologies-svg-35,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,5e557f666891facda3f900f74b7bc129a94a83415e35ae6b6a8d2cd88af1a65c,Approved
017,topologies-text-12,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,d638ace78f482ba5bb86a2385c54d2b41d56da901e9dd940987db6a378a5c46b,Approved
017,topologies-text-23,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,3951fd52cd697137526acc15efffe2ae8c36cb9098a092f210d82ada17b54b72,Approved
018,explanation-compare-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,a217731556890be0ff5e6399d07478d076e8e0ccadcf3e460091b566c465efe6,Approved
018,explanation-model-visual-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,733c3ba93dc2a84383684247b691ed00ecdb6905b8fd07b60cbf10d4c80df1f9,Approved
018,explanation-roles-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0dc71783f023621e1a1cccf78c743fccdf3ca5d581092e8324e9d9dbfba0070d,Approved
018,explanation-usecases-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,1546ec80467507fa8deb829ef4066c9a47d39828f5274da2ef20a7b335253104,Approved
018,model-visual-details-8,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1,Approved
018,model-visual-div-1,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b8d6a67c84d2224e01c239357c6ecfc883f2fb8b7f28b0312e94ec1581dd3ba9,Approved
018,model-visual-div-2,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,d0be4a49e3d4c0075aea3dd7eb54521944fb06cbe9e822c8134c51df1e25998b,Approved
018,model-visual-img-3,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,18fa6883cccf4125c1e0dacd1c82287e6022649f694c7ee799d55078011679da,Approved
018,model-visual-svg-4,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,bb877034e982d96d69ef06fab3a20da9202e5075e4ddb1d9e0918021fd36730f,Approved
018,model-visual-svg-6,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,e5f3174dc87b30009bc09cf23bb3bdc16595062320678e24471827453d360542,Approved
018,model-visual-ul-5,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0f1d0fc40faba9969d85b59ac0f65c359b10fcd0c952f2bc54c7ec5a5b87124f,Approved
018,model-visual-ul-7,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0f1d0fc40faba9969d85b59ac0f65c359b10fcd0c952f2bc54c7ec5a5b87124f,Approved
019,explanation-packet-journey-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,1e0c0fc2ccac2187ab0117ba81df299abb2d2a40bfaddabe9e0dceeec1e32761,Approved
019,explanation-routing-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c6cbab2674ba3284c4e37267501149b0ff3de247d4ab73dcc56e2b1aa8fd1e38,Approved
019,explanation-structure-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,0ef60708d1f2ff0946a4cc17b6d3663f299be4b3b894c874a1c8dc3a7bbd90a5,Approved
019,explanation-switching-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,c4c35b204971eebd54717c46fbe87bdc01f21ee3ee558beb0f24f06c45b7bf40,Approved
019,packet-journey-details-3,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1,Approved
019,packet-journey-ol-2,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,cac54d708d99534a4de51767abb0840d96595af3a7a5a43bf1c919a3a1ebf838,Approved
019,packet-journey-svg-1,Inline SVG,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,80d4c820f44aa4569194894795bcc89bfbb168d367d8e382d1d7da740337ecb9,Approved
019,routeVisual,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,7a3828afb0d0dc0901b13e0e1c77fb4750f6608a3c33945f908661225e5a54f2,Approved
019,structure-div-1,HTML/CSS,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,ce14ddfd8bd5885ee9e7db32109a0458d956eba23aba7fba239e530a18f22d77,Approved
020,explanation-layers-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,dca6da633191d9604548148da9c437a2857921a37a01103e84638026d0e67b9a,Approved
020,explanation-protocols-img-1,Raster image,Pass,NotApplicable,NotApplicable,ApprovedNonRasterOrLegacyAsset,b19c70fff3853aabe00b141fa3cf32d7d05c332b0930e9833041f43a146029e3,Approved
