id,Draft,Checked,Revised,Approved,review_route
L021-Q1,Complete,Complete,Complete,Complete,Standard
L021-Q2,Complete,Complete,Complete,Complete,Standard
L021-Q3,Complete,Complete,Complete,Complete,Standard
L021-Q4,Complete,Complete,Complete,Complete,Standard
L021-Q5,Complete,Complete,Complete,Complete,Standard
L022-Q1,Complete,Complete,Complete,Complete,Standard
L022-Q2,Complete,Complete,Complete,Complete,Standard
L022-Q3,Complete,Complete,Complete,Complete,Standard
L022-Q4,Complete,Complete,Complete,Complete,Standard
L022-Q5,Complete,Complete,Complete,Complete,Standard
L023-Q1,Complete,Complete,Complete,Complete,Standard
L023-Q2,Complete,Complete,Complete,Complete,Standard
L023-Q3,Complete,Complete,Complete,Complete,Standard
L023-Q4,Complete,Complete,Complete,Complete,Standard
L023-Q5,Complete,Complete,Complete,Complete,Standard
L024-Q1,Complete,Complete,Complete,Complete,Standard
L024-Q2,Complete,Complete,Complete,Complete,Standard
L024-Q3,Complete,Complete,Complete,Complete,Standard
L024-Q4,Complete,Complete,Complete,Complete,Standard
L024-Q5,Complete,Complete,Complete,Complete,Standard
L025-Q1,Complete,Complete,Complete,Complete,Standard
L025-Q2,Complete,Complete,Complete,Complete,Standard
L025-Q3,Complete,Complete,Complete,Complete,Standard
L025-Q4,Complete,Complete,Complete,Complete,Standard
L025-Q5,Complete,Complete,Complete,Complete,Standard
L026-Q1,Complete,Complete,Complete,Complete,Standard
L026-Q2,Complete,Complete,Complete,Complete,Standard
L026-Q3,Complete,Complete,Complete,Complete,Standard
L026-Q4,Complete,Complete,Complete,Complete,Standard
L026-Q5,Complete,Complete,Complete,Complete,Standard
L027-Q1,Complete,Complete,Complete,Complete,Standard
L027-Q2,Complete,Complete,Complete,Complete,Standard
L027-Q3,Complete,Complete,Complete,Complete,Standard
L027-Q4,Complete,Complete,Complete,Complete,Standard
L027-Q5,Complete,Complete,Complete,Complete,Standard
L028-Q1,Complete,Complete,Complete,Complete,Standard
L028-Q2,Complete,Complete,Complete,Complete,Standard
L028-Q3,Complete,Complete,Complete,Complete,Standard
L028-Q4,Complete,Complete,Complete,Complete,Standard
L028-Q5,Complete,Complete,Complete,Complete,Standard
L029-Q1,Complete,Complete,Complete,Complete,Standard
L029-Q2,Complete,Complete,Complete,Complete,Standard
L029-Q3,Complete,Complete,Complete,Complete,Standard
L029-Q4,Complete,Complete,Complete,Complete,Standard
L029-Q5,Complete,Complete,Complete,Complete,Standard
L030-Q1,Complete,Complete,Complete,Complete,Standard
L030-Q2,Complete,Complete,Complete,Complete,Standard
L030-Q3,Complete,Complete,Complete,Complete,Standard
L030-Q4,Complete,Complete,Complete,Complete,Standard
L030-Q5,Complete,Complete,Complete,Complete,Standard
L031-Q1,Complete,Complete,Complete,Complete,Standard
L031-Q2,Complete,Complete,Complete,Complete,Standard
L031-Q3,Complete,Complete,Complete,Complete,Standard
L031-Q4,Complete,Complete,Complete,Complete,Standard
L031-Q5,Complete,Complete,Complete,Complete,Standard
L032-Q1,Complete,Complete,Complete,Complete,Standard
L032-Q2,Complete,Complete,Complete,Complete,Standard
L032-Q3,Complete,Complete,Complete,Complete,Standard
L032-Q4,Complete,Complete,Complete,Complete,Standard
L032-Q5,Complete,Complete,Complete,Complete,Standard
L033-Q1,Complete,Complete,Complete,Complete,Standard
L033-Q2,Complete,Complete,Complete,Complete,Standard
L033-Q3,Complete,Complete,Complete,Complete,Standard
L033-Q4,Complete,Complete,Complete,Complete,Standard
L033-Q5,Complete,Complete,Complete,Complete,Standard
L034-Q1,Complete,Complete,Complete,Complete,Standard
L034-Q2,Complete,Complete,Complete,Complete,Standard
L034-Q3,Complete,Complete,Complete,Complete,Standard
L034-Q4,Complete,Complete,Complete,Complete,Standard
L034-Q5,Complete,Complete,Complete,Complete,Standard
L035-Q1,Complete,Complete,Complete,Complete,Standard
L035-Q2,Complete,Complete,Complete,Complete,Standard
L035-Q3,Complete,Complete,Complete,Complete,Standard
L035-Q4,Complete,Complete,Complete,Complete,Standard
L035-Q5,Complete,Complete,Complete,Complete,Standard
L036-Q1,Complete,Complete,Complete,Complete,Standard
L036-Q2,Complete,Complete,Complete,Complete,Standard
L036-Q3,Complete,Complete,Complete,Complete,Standard
L036-Q4,Complete,Complete,Complete,Complete,Standard
L036-Q5,Complete,Complete,Complete,Complete,Standard
L037-Q1,Complete,Complete,Complete,Complete,Standard
L037-Q2,Complete,Complete,Complete,Complete,Standard
L037-Q3,Complete,Complete,Complete,Complete,Standard
L037-Q4,Complete,Complete,Complete,Complete,Standard
L037-Q5,Complete,Complete,Complete,Complete,Standard
L038-Q1,Complete,Complete,Complete,Complete,Standard
L038-Q2,Complete,Complete,Complete,Complete,Standard
L038-Q3,Complete,Complete,Complete,Complete,Standard
L038-Q4,Complete,Complete,Complete,Complete,Standard
L038-Q5,Complete,Complete,Complete,Complete,Standard
L039-Q1,Complete,Complete,Complete,Complete,Standard
L039-Q2,Complete,Complete,Complete,Complete,Standard
L039-Q3,Complete,Complete,Complete,Complete,Standard
L039-Q4,Complete,Complete,Complete,Complete,Standard
L039-Q5,Complete,Complete,Complete,Complete,Standard
L040-Q1,Complete,Complete,Complete,Complete,Standard
L040-Q2,Complete,Complete,Complete,Complete,Standard
L040-Q3,Complete,Complete,Complete,Complete,Standard
L040-Q4,Complete,Complete,Complete,Complete,Standard
L040-Q5,Complete,Complete,Complete,Complete,Standard
L041-Q1,Complete,Complete,Complete,Complete,Standard
L041-Q2,Complete,Complete,Complete,Complete,Standard
L041-Q3,Complete,Complete,Complete,Complete,Standard
L041-Q4,Complete,Complete,Complete,Complete,Standard
L041-Q5,Complete,Complete,Complete,Complete,Standard
L042-Q1,Complete,Complete,Complete,Complete,Standard
L042-Q2,Complete,Complete,Complete,Complete,Standard
L042-Q3,Complete,Complete,Complete,Complete,Standard
L042-Q4,Complete,Complete,Complete,Complete,Standard
L042-Q5,Complete,Complete,Complete,Complete,Standard
L043-Q1,Complete,Complete,Complete,Complete,Standard
L043-Q2,Complete,Complete,Complete,Complete,Standard
L043-Q3,Complete,Complete,Complete,Complete,Standard
L043-Q4,Complete,Complete,Complete,Complete,Standard
L043-Q5,Complete,Complete,Complete,Complete,Standard
L044-Q1,Complete,Complete,Complete,Complete,Standard
L044-Q2,Complete,Complete,Complete,Complete,Standard
L044-Q3,Complete,Complete,Complete,Complete,Standard
L044-Q4,Complete,Complete,Complete,Complete,Standard
L044-Q5,Complete,Complete,Complete,Complete,Standard
L045-Q1,Complete,Complete,Complete,Complete,Standard
L045-Q2,Complete,Complete,Complete,Complete,Standard
L045-Q3,Complete,Complete,Complete,Complete,Standard
L045-Q4,Complete,Complete,Complete,Complete,Standard
L045-Q5,Complete,Complete,Complete,Complete,Standard
L046-Q1,Complete,Complete,Complete,Complete,Standard
L046-Q2,Complete,Complete,Complete,Complete,Standard
L046-Q3,Complete,Complete,Complete,Complete,Standard
L046-Q4,Complete,Complete,Complete,Complete,Standard
L046-Q5,Complete,Complete,Complete,Complete,Standard
L047-Q1,Complete,Complete,Complete,Complete,Standard
L047-Q2,Complete,Complete,Complete,Complete,Standard
L047-Q3,Complete,Complete,Complete,Complete,Standard
L047-Q4,Complete,Complete,Complete,Complete,Standard
L047-Q5,Complete,Complete,Complete,Complete,Standard
L048-Q1,Complete,Complete,Complete,Complete,Standard
L048-Q2,Complete,Complete,Complete,Complete,Standard
L048-Q3,Complete,Complete,Complete,Complete,Standard
L048-Q4,Complete,Complete,Complete,Complete,Standard
L048-Q5,Complete,Complete,Complete,Complete,Standard
L049-Q1,Complete,Complete,Complete,Complete,Standard
L049-Q2,Complete,Complete,Complete,Complete,Standard
L049-Q3,Complete,Complete,Complete,Complete,Standard
L049-Q4,Complete,Complete,Complete,Complete,Standard
L049-Q5,Complete,Complete,Complete,Complete,Standard
L050-Q1,Complete,Complete,Complete,Complete,Standard
L050-Q2,Complete,Complete,Complete,Complete,Standard
L050-Q3,Complete,Complete,Complete,Complete,Standard
L050-Q4,Complete,Complete,Complete,Complete,Standard
L050-Q5,Complete,Complete,Complete,Complete,Standard
L051-Q1,Complete,Complete,Complete,Complete,Standard
L051-Q2,Complete,Complete,Complete,Complete,Standard
L051-Q3,Complete,Complete,Complete,Complete,Standard
L051-Q4,Complete,Complete,Complete,Complete,Standard
L051-Q5,Complete,Complete,Complete,Complete,Standard
L052-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L052-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L052-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L052-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L052-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L053-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L053-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L053-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L053-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L053-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L054-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L054-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L054-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L054-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L054-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L055-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L055-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L055-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L055-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L055-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L056-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L056-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L056-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L056-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L056-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L057-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L057-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L057-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L057-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L057-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L058-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L058-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L058-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L058-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L058-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L059-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L059-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L059-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L059-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L059-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L060-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L060-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L060-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L060-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L060-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L061-Q1,Complete,Complete,Complete,Complete,Specialist: System Software
L061-Q2,Complete,Complete,Complete,Complete,Specialist: System Software
L061-Q3,Complete,Complete,Complete,Complete,Specialist: System Software
L061-Q4,Complete,Complete,Complete,Complete,Specialist: System Software
L061-Q5,Complete,Complete,Complete,Complete,Specialist: System Software
L062-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L062-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L062-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L062-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L062-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L063-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L063-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L063-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L063-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L063-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L064-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L064-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L064-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L064-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L064-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L065-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L065-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L065-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L065-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L065-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L066-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L066-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L066-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L066-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L066-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L067-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L067-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L067-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L067-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L067-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L068-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L068-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L068-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L068-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L068-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L069-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L069-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L069-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L069-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L069-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L070-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L070-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L070-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L070-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L070-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L071-Q1,Complete,Complete,Complete,Complete,Specialist: Security
L071-Q2,Complete,Complete,Complete,Complete,Specialist: Security
L071-Q3,Complete,Complete,Complete,Complete,Specialist: Security
L071-Q4,Complete,Complete,Complete,Complete,Specialist: Security
L071-Q5,Complete,Complete,Complete,Complete,Specialist: Security
L072-Q1,Complete,Complete,Complete,Complete,Specialist: Ethics
L072-Q2,Complete,Complete,Complete,Complete,Specialist: Ethics
L072-Q3,Complete,Complete,Complete,Complete,Specialist: Ethics
L072-Q4,Complete,Complete,Complete,Complete,Specialist: Ethics
L072-Q5,Complete,Complete,Complete,Complete,Specialist: Ethics
L073-Q1,Complete,Complete,Complete,Complete,Specialist: Ethics
L073-Q2,Complete,Complete,Complete,Complete,Specialist: Ethics
L073-Q3,Complete,Complete,Complete,Complete,Specialist: Ethics
L073-Q4,Complete,Complete,Complete,Complete,Specialist: Ethics
L073-Q5,Complete,Complete,Complete,Complete,Specialist: Ethics
L074-Q1,Complete,Complete,Complete,Complete,Specialist: Ethics
L074-Q2,Complete,Complete,Complete,Complete,Specialist: Ethics
L074-Q3,Complete,Complete,Complete,Complete,Specialist: Ethics
L074-Q4,Complete,Complete,Complete,Complete,Specialist: Ethics
L074-Q5,Complete,Complete,Complete,Complete,Specialist: Ethics
L075-Q1,Complete,Complete,Complete,Complete,Specialist: Ethics
L075-Q2,Complete,Complete,Complete,Complete,Specialist: Ethics
L075-Q3,Complete,Complete,Complete,Complete,Specialist: Ethics
L075-Q4,Complete,Complete,Complete,Complete,Specialist: Ethics
L075-Q5,Complete,Complete,Complete,Complete,Specialist: Ethics
L076-Q1,Complete,Complete,Complete,Complete,Specialist: Ethics
L076-Q2,Complete,Complete,Complete,Complete,Specialist: Ethics
L076-Q3,Complete,Complete,Complete,Complete,Specialist: Ethics
L076-Q4,Complete,Complete,Complete,Complete,Specialist: Ethics
L076-Q5,Complete,Complete,Complete,Complete,Specialist: Ethics
L077-Q1,Complete,Complete,Complete,Complete,Specialist: Ethics
L077-Q2,Complete,Complete,Complete,Complete,Specialist: Ethics
L077-Q3,Complete,Complete,Complete,Complete,Specialist: Ethics
L077-Q4,Complete,Complete,Complete,Complete,Specialist: Ethics
L077-Q5,Complete,Complete,Complete,Complete,Specialist: Ethics
L078-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L078-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L078-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L078-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L078-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L079-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L079-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L079-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L079-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L079-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L080-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L080-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L080-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L080-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L080-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L081-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L081-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L081-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L081-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L081-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L082-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L082-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L082-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L082-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L082-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L083-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L083-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L083-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L083-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L083-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L084-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L084-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L084-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L084-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L084-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L085-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L085-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L085-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L085-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L085-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L086-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L086-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L086-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L086-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L086-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L087-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L087-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L087-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L087-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L087-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L088-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L088-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L088-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L088-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L088-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L089-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L089-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L089-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L089-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L089-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L090-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L090-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L090-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L090-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L090-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L091-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L091-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L091-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L091-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L091-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L092-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L092-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L092-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L092-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L092-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L093-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L093-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L093-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L093-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L093-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L094-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L094-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L094-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L094-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L094-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L095-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
L095-Q2,Complete,Complete,Complete,Complete,Specialist: Databases
L095-Q3,Complete,Complete,Complete,Complete,Specialist: Databases
L095-Q4,Complete,Complete,Complete,Complete,Specialist: Databases
L095-Q5,Complete,Complete,Complete,Complete,Specialist: Databases
L096-Q1,Complete,Complete,Complete,Complete,Specialist: Databases
